zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-03,2021-05-03,1,25,0,15,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-09,2021-05-01,0,54,0,34,3,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-09,2021-05-01,0,62,0,42,4,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-09,2021-05-08,0,35,0,20,2,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-09,2021-05-08,0,50,0,28,4,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-12,2021-05-01,0,30,0,18,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-12,2021-05-12,0,20,0,15,2,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-21,2021-05-18,0,20,0,15,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-22,2021-05-10,0,18,0,10,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-22,2021-05-12,0,29,0,17,3,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,2021-05-22,2021-05-16,0,27,0,17,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,,2021-05-08,0,27,0,15,3,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,,2021-05-08,0,30,0,20,3,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,,2021-08-03,0,4,1,1,0,true,autre,misy
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-03,0,15,0,15,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-03,0,20,0,20,4,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-03,0,33,0,33,2,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-03,1,25,0,25,2,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-03,1,30,1,29,2,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-05-09,2021-05-04,0,17,0,17,1,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-07-05,2021-05-07,0,16,0,16,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-07-05,2021-05-07,1,20,0,20,0,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-08-12,2021-08-08,0,2.5,0.5,2,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-08-12,2021-08-08,0,4.5,0.5,4,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-08-24,2021-08-24,0,5.5,1.5,3,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,,2021-05-07,0,20,0,20,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,,2021-05-07,1,20,0,20,1,false,plus gros,
Mahajanga,Boeny,Soalala,Soalala,Baly,Baly,2021-05-10,2021-05-05,0,29,5,20,2,false,plus petit,
Mahajanga,Boeny,Soalala,Soalala,Baly,Baly,2021-05-10,2021-05-09,0,44,4,40,2,false,autre,Mou
Mahajanga,Boeny,Soalala,Soalala,Baly,Baly,,2021-05-06,0,38,0,38,3,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-09,0,5,0,5,2,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-09,0,7,1,5,2,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-09,0,10,2,6,2,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-09,0,30,5,20,4,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-10,0,10,0,10,3,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Antongo vaovao,Ambohibe,Ambohibe,,2021-06-10,0,20,5,10,3,false,plus gros,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,2021-07-23,2021-07-22,0,8,1,1,0,true,plus petit,
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,0,4,1,1,1,false,plus petit,
