region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_capture;echantillon.trie;echantillon.taille_absente;echantillon.taille_absente_autre
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-09;seul;0;5;0;;5;2000;;;0;500;2021-06-09;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);2;Non renseigné;0;2021-06-08;0;0;Non renseigné;0;Non renseigné;0;2021-06-07;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);2;Non renseigné;0;2021-06-06;0;0;Non renseigné;0;Non renseigné;0;2;false;plus gros;
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-09;seul;0;7;1;6;5;2000;;;1;500;2021-06-09;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);2;Non renseigné;0;2021-06-08;0;0;Non renseigné;0;Non renseigné;0;2021-06-07;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);2;Non renseigné;0;2021-06-06;0;0;Non renseigné;0;Non renseigné;0;2;false;plus gros;
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-09;seul;0;10;2;12;6;2000;2;500;0;500;2021-06-09;1;1;Balance (Garigary, Kiriry);20;Raquette (Kipaoky, Fisahoky, Fisaoka);1;2021-06-08;1;1;Balance (Garigary, Kiriry);20;Raquette (Kipaoky, Fisahoky, Fisaoka);1;2021-06-07;1;1;Balance (Garigary, Kiriry);20;Raquette (Kipaoky, Fisahoky, Fisaoka);1;2021-06-06;1;1;Balance (Garigary, Kiriry);20;Raquette (Kipaoky, Fisahoky, Fisaoka);1;2;false;plus gros;
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-09;seul;0;30;5;25;20;2000;5;500;0;500;2021-06-09;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;2021-06-08;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;2021-06-07;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;2021-06-06;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;4;false;plus gros;
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-10;seul;0;10;0;0;10;2000;;;0;500;2021-06-10;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;2021-06-09;0;0;Non renseigné;0;Non renseigné;0;2021-06-08;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;2021-06-07;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Balance (Garigary, Kiriry);20;3;false;plus gros;
Atsimo andrefana;Morombe;Antongo vaovao;Ambohibe;Ambohibe;;2021-06-10;seul;0;20;5;30;10;2000;5;500;0;500;2021-06-10;1;1;Balance (Garigary, Kiriry);20;Non renseigné;0;2021-06-09;1;1;Balance (Garigary, Kiriry);20;Non renseigné;0;2021-06-08;1;1;Balance (Garigary, Kiriry);20;Non renseigné;0;2021-06-07;1;1;Non renseigné;0;Balance (Garigary, Kiriry);20;3;false;plus gros;
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;2021-07-23;2021-07-22;seul;0;8;1;5;1;2500;;;6;500;2021-07-22;1;1;Ligne à la canne (Vintana, Vinta);40;Non renseigné;0;2021-07-21;0;0;Non renseigné;0;Non renseigné;0;2021-07-20;0;0;Non renseigné;0;Non renseigné;0;2021-07-19;0;0;Non renseigné;0;Non renseigné;0;0;true;plus petit;
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;;2021-05-18;seul;0;4;1;6;1;2000;;;2;500;2021-05-18;1;1;Ligne au mouillage (Topitopy);35;Non renseigné;0;2021-05-17;0;0;Non renseigné;0;Non renseigné;0;2021-05-16;0;0;Non renseigné;0;Non renseigné;0;2021-05-15;0;0;Non renseigné;0;Non renseigné;0;1;false;plus petit;
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;;2021-05-18;seul;0;5;1;8;1;2000;;;3;500;2021-05-18;1;1;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-05-17;0;0;Non renseigné;0;Non renseigné;0;2021-05-16;0;0;Non renseigné;0;Non renseigné;0;2021-05-15;0;0;Non renseigné;0;Non renseigné;0;1;false;plus petit;
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;;2021-05-18;seul;0;5.5;1;7;0.5;2000;;;4;500;2021-05-18;1;1;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-05-17;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-16;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-05-15;0;0;Non renseigné;0;Non renseigné;0;1;false;plus petit;
Atsimo andrefana;Morombe;Befandefa;Antaniloba II;Ankotapike ;;2021-05-18;seul;0;10.5;1.5;11;1;2000;;;8;500;2021-05-18;1;1;Ligne au mouillage (Topitopy);30;Non renseigné;0;2021-05-17;0;0;Non renseigné;0;Non renseigné;0;2021-05-16;0;0;Non renseigné;0;Non renseigné;0;2021-05-15;0;0;Non renseigné;0;Non renseigné;0;1;false;plus petit;
