echantillon.taille_absente_autre,crabe.destination,crabe.sexe,crabe.taille
,1,FO,100
,1,FO,100
,1,FO,100
,1,FO,100
,1,FO,100
,1,FO,101
,1,FO,101
,1,FO,101
,1,FO,101
,1,FO,102
,1,FO,102
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,103
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,104
,1,FO,105
,1,FO,108
,1,FO,110
,1,FO,110
,1,FO,110
,1,FO,110
,1,FO,111
,1,FO,111
,1,FO,111
,1,FO,111
,1,FO,111
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,112
,1,FO,113
,1,FO,113
,1,FO,115
,1,FO,118
,1,FO,119
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
,1,FO,120
