zone_corecrabe.nom,fokontany.nom,crabe.destination
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,1
Mahajanga,Ankera,2
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
Mahajanga,Ankera,3
