echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids
false,autre,Mou,14
false,plus gros,,0
false,plus gros,,0.5
false,plus gros,,0.5
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,1.5
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2
false,plus gros,,2.1
false,plus gros,,2.1
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.5
false,plus gros,,2.75
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
false,plus gros,,3
