region.nom;village.nom;fiche_enqueteur.capture_poids;crabe.sexe;crabe.taille
Boeny;Sambiravo;1;M;100
Boeny;Sambiravo;1;M;100
Boeny;Sambiravo;1;M;100
Boeny;Sambiravo;1;M;100
Boeny;Sambiravo;1;M;100
Boeny;Sambiravo;1;M;112
Boeny;Sambiravo;1;M;120
Boeny;Sambiravo;1;M;120
Boeny;Sambiravo;1;M;120
Boeny;Sambiravo;1;M;130
Boeny;Sambiravo;1;M;130
Boeny;Sambiravo;1;NO;100
Boeny;Sambiravo;1.5;M;80
Boeny;Sambiravo;1.5;M;90
Boeny;Sambiravo;1.5;M;90
Boeny;Sambiravo;1.5;M;95
Boeny;Sambiravo;1.5;M;95
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;100
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;105
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;110
Boeny;Sambiravo;1.5;M;115
Boeny;Sambiravo;1.5;M;115
Boeny;Sambiravo;1.5;M;115
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;120
Boeny;Sambiravo;1.5;M;125
Boeny;Sambiravo;1.5;M;125
Boeny;Sambiravo;1.5;M;125
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;M;130
Boeny;Sambiravo;1.5;NO;90
Boeny;Sambiravo;1.5;NO;90
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;100
Boeny;Sambiravo;1.5;NO;105
Boeny;Sambiravo;1.5;NO;110
Boeny;Sambiravo;1.5;NO;120
Boeny;Sambiravo;1.5;NO;120
Boeny;Sambiravo;1.5;NO;120
Boeny;Sambiravo;1.5;NO;125
Boeny;Sambiravo;2;M;100
Boeny;Sambiravo;2;M;100
Boeny;Sambiravo;2;M;100
Boeny;Sambiravo;2;M;100
Boeny;Sambiravo;2;M;105
Boeny;Sambiravo;2;M;110
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;120
Boeny;Sambiravo;2;M;129
Boeny;Sambiravo;2;M;129
Boeny;Sambiravo;2;M;130
Boeny;Sambiravo;2;M;130
Boeny;Sambiravo;2;M;130
Boeny;Sambiravo;2;M;140
Boeny;Sambiravo;2;M;140
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;100
Boeny;Sambiravo;2;NO;105
Boeny;Sambiravo;2;NO;130
Boeny;Sambiravo;2.5;M;50
Boeny;Sambiravo;2.5;M;80
Boeny;Sambiravo;2.5;M;80
Boeny;Sambiravo;2.5;M;80
Boeny;Sambiravo;2.5;M;85
Boeny;Sambiravo;2.5;M;85
Boeny;Sambiravo;2.5;M;87
Boeny;Sambiravo;2.5;M;87
Boeny;Sambiravo;2.5;M;88
Boeny;Sambiravo;2.5;M;90
Boeny;Sambiravo;2.5;M;90
Boeny;Sambiravo;2.5;M;90
Boeny;Sambiravo;2.5;M;94
Boeny;Sambiravo;2.5;M;95
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
Boeny;Sambiravo;2.5;M;100
