zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-01;seul;0;4;0;;4;2000;;;2021-09-01;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-08-31;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-08-30;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-08-29;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-01;seul;0;10;1;5;6;2000;2;1000;2021-09-01;1;1;Balance (Garigary, Kiriry);9;Non renseigné;0;2021-08-31;1;1;Balance (Garigary, Kiriry);9;Non renseigné;0;2021-08-30;2;2;Balance (Garigary, Kiriry);9;Non renseigné;0;2021-08-29;1;1;Balance (Garigary, Kiriry);9;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-01;seul;0;16;3;15;8;2000;3;1000;2021-09-01;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-08-31;1;1;Crochet (Fingavitra, Kavitry, Fiavitry);1;Non renseigné;0;2021-08-30;0;0;Non renseigné;0;Non renseigné;0;2021-08-29;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-02;seul;0;4;0;;3;2000;1;1000;2021-09-02;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-09-01;0;0;Non renseigné;0;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0;2021-08-30;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-02;seul;0;6;0;;4;2000;1;1000;2021-09-02;1;1;Balance (Garigary, Kiriry);8;Non renseigné;0;2021-09-01;0;0;Non renseigné;0;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0;2021-08-30;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-02;seul;0;12.3;1.3;5;8;2000;2;1000;2021-09-02;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-09-01;0;0;Non renseigné;0;Non renseigné;0;2021-08-31;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-08-30;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-02;seul;0;13.4;1.4;8;8;2000;2;1000;2021-09-02;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-09-01;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0;2021-08-30;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-03;seul;0;5;0;;4;2000;1;1000;2021-09-03;1;1;Balance (Garigary, Kiriry);8;Non renseigné;0;2021-09-02;1;1;Balance (Garigary, Kiriry);8;Non renseigné;0;2021-09-01;0;0;Non renseigné;0;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-03;seul;0;10.2;0.2;3;7;2000;2;1000;2021-09-03;1;1;Balance (Garigary, Kiriry);12;Non renseigné;0;2021-09-02;0;0;Non renseigné;0;Non renseigné;0;2021-09-01;1;1;Balance (Garigary, Kiriry);12;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0
Morondava;Menabe (Morondava);Belo sur Tsiribihina;Tsimafana;Anja; Antsosa ;2021-09-08;2021-09-03;seul;0;12;0;1;8;2000;3;1000;2021-09-03;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-09-02;0;0;Non renseigné;0;Non renseigné;0;2021-09-01;1;1;Raquette (Kipaoky, Fisahoky, Fisaoka);1;Non renseigné;0;2021-08-31;0;0;Non renseigné;0;Non renseigné;0
