crabe.destination,crabe.sexe,crabe.taille
1,FO,109
1,FO,115
1,FO,118
1,FO,118
1,FO,120
1,FO,121
1,FO,121
1,FO,121
1,FO,125
1,FO,130
1,FO,134
1,FO,137
1,FO,139
1,FO,142
1,FO,144
1,FO,145
1,FO,151
1,FO,151
1,FO,151
1,FO,153
1,FO,160
1,M,75
1,M,76
1,M,81
1,M,85
1,M,86
1,M,87
1,M,88
1,M,88
1,M,89
1,M,90
1,M,91
1,M,91
1,M,91
1,M,92
1,M,92
1,M,92
1,M,92
1,M,92
1,M,92
1,M,93
1,M,94
1,M,95
1,M,95
1,M,95
1,M,95
1,M,97
1,M,97
1,M,97
1,M,97
1,M,98
1,M,98
1,M,99
1,M,99
1,M,99
1,M,99
1,M,100
1,M,100
1,M,100
1,M,100
1,M,102
1,M,102
1,M,102
1,M,102
1,M,103
1,M,104
1,M,104
1,M,104
1,M,105
1,M,105
1,M,105
1,M,105
1,M,106
1,M,106
1,M,106
1,M,106
1,M,106
1,M,106
1,M,107
1,M,107
1,M,107
1,M,107
1,M,107
1,M,107
1,M,107
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,108
1,M,109
1,M,109
1,M,109
1,M,109
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,110
1,M,111
1,M,111
1,M,111
1,M,111
1,M,111
1,M,112
1,M,112
1,M,112
1,M,112
1,M,112
1,M,112
1,M,113
1,M,113
1,M,114
1,M,114
1,M,114
1,M,114
1,M,114
1,M,114
1,M,114
1,M,115
1,M,115
1,M,115
1,M,115
1,M,115
1,M,115
1,M,116
1,M,116
1,M,116
1,M,117
1,M,117
1,M,117
1,M,118
1,M,118
1,M,118
1,M,118
1,M,120
1,M,120
1,M,121
1,M,121
1,M,121
1,M,121
1,M,121
1,M,123
1,M,123
1,M,123
1,M,123
1,M,124
1,M,124
1,M,124
1,M,125
1,M,126
1,M,126
1,M,127
1,M,127
1,M,128
1,M,129
1,M,129
1,M,132
1,M,133
1,M,135
1,M,135
1,M,136
1,M,141
1,M,145
1,NO,83
1,NO,84
1,NO,84
1,NO,84
1,NO,85
1,NO,92
1,NO,93
1,NO,93
1,NO,94
1,NO,94
1,NO,94
1,NO,95
1,NO,95
1,NO,95
1,NO,95
1,NO,95
1,NO,96
1,NO,96
1,NO,96
1,NO,97
1,NO,97
1,NO,98
1,NO,98
1,NO,100
1,NO,102
1,NO,102
1,NO,102
1,NO,103
1,NO,104
1,NO,104
1,NO,104
1,NO,105
1,NO,105
1,NO,105
1,NO,106
1,NO,106
1,NO,106
1,NO,106
1,NO,107
1,NO,107
1,NO,107
1,NO,107
1,NO,107
1,NO,108
1,NO,108
1,NO,108
1,NO,108
1,NO,108
1,NO,109
1,NO,109
1,NO,109
1,NO,109
1,NO,110
1,NO,110
1,NO,110
1,NO,110
1,NO,110
1,NO,111
1,NO,111
1,NO,111
1,NO,111
1,NO,112
1,NO,112
1,NO,112
1,NO,112
1,NO,113
1,NO,113
1,NO,113
1,NO,114
1,NO,114
1,NO,114
1,NO,114
1,NO,114
1,NO,114
1,NO,114
1,NO,114
1,NO,115
1,NO,115
1,NO,116
1,NO,116
1,NO,116
1,NO,116
1,NO,117
1,NO,117
1,NO,117
1,NO,118
1,NO,120
1,NO,120
1,NO,121
1,NO,122
1,NO,128
1,NO,129
1,NO,129
1,NO,129
1,NO,130
1,NO,131
1,NO,131
1,NO,132
1,NO,134
1,NO,135
1,NO,135
1,NO,136
1,NO,137
1,NO,137
1,NO,139
1,NO,140
1,NO,140
1,NO,141
1,NO,146
1,NO,148
1,NO,151
1,NO,180
2,M,74
2,M,74
2,M,75
2,M,78
2,M,79
2,M,80
2,M,82
2,M,83
2,M,83
2,M,83
2,M,83
2,M,84
2,M,84
2,M,85
2,M,85
2,M,87
2,M,87
2,M,88
2,M,88
2,M,89
2,M,89
2,M,90
2,M,90
2,M,92
2,M,92
2,M,94
2,M,94
2,M,96
2,M,99
2,M,99
2,M,106
2,NO,74
2,NO,74
2,NO,75
2,NO,77
2,NO,80
2,NO,82
2,NO,82
2,NO,83
2,NO,84
2,NO,84
2,NO,84
2,NO,85
2,NO,86
2,NO,86
2,NO,87
2,NO,87
2,NO,87
2,NO,88
2,NO,88
2,NO,88
2,NO,89
2,NO,89
2,NO,95
2,NO,97
2,NO,100
