zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-02-20;2021-08-13;seul;0;2;0;;2;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-02-20;2021-08-13;seul;0;5.5;0.5;4;5;2500;0;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-03;amis;1;30;1;;29;2000;;;0;500
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-03;partenaire;1;25;0;0;25;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-03;seul;0;15;0;0;15;2000;;;0;500
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-03;seul;0;20;0;0;20;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-03;seul;0;33;0;0;33;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-05-09;2021-05-04;seul;0;17;0;;17;2000;;;0;500
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-05;2021-05-07;amis;1;20;0;;20;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-05;2021-05-07;seul;0;16;0;;16;2000;;;0;400
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-21;seul;0;5.5;0.5;2;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-21;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-21;seul;0;7.5;1.5;8;6;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-21;seul;0;8.5;0.5;;8;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-22;seul;0;2.5;0.5;;2;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-22;seul;0;4.5;0.5;;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-22;seul;0;5;0.5;4;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-22;seul;0;6;0.5;;5.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-23;seul;0;1.5;0;;1.5;2500;0;0;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-23;seul;0;4.5;0;;4.5;2500;0;0;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-23;seul;0;5.5;1;;4.5;2500;0;0;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-23;seul;0;7;0.5;;6.5;2500;0;0;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-24;seul;0;1.5;0.25;1;1.25;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-24;seul;0;6.5;1;6;5.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-24;seul;0;7;1;6;6;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-24;seul;0;8;1.5;7;6.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-24;seul;0;11.5;2;10;9.5;2600;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-25;seul;0;4.5;0.5;4;4;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-25;seul;0;5.5;0.5;4;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-07-27;2021-07-25;seul;0;5.5;1;5;4.5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-27;seul;0;5;0;0;5;2500;;;0;0
Mahajanga;Boeny;Soalala;Soalala;Ankera;Sambiravo;2021-08-02;2021-07-27;seul;0;6.5;0.5;4;6;2500;;;0;0
