fiche.date_expedition;fiche_enqueteur.date;crabe.taille
0221-08-11;2021-08-04;82
0221-08-11;2021-08-04;83
0221-08-11;2021-08-04;84
0221-08-11;2021-08-04;87
0221-08-11;2021-08-04;90
0221-08-11;2021-08-04;92
0221-08-11;2021-08-04;94
0221-08-11;2021-08-04;97
0221-08-11;2021-08-04;98
0221-08-11;2021-08-04;99
0221-08-11;2021-08-04;100
0221-08-11;2021-08-04;100
0221-08-11;2021-08-04;102
0221-08-11;2021-08-04;103
0221-08-11;2021-08-04;103
0221-08-11;2021-08-04;104
0221-08-11;2021-08-04;104
0221-08-11;2021-08-04;105
0221-08-11;2021-08-04;105
0221-08-11;2021-08-04;106
0221-08-11;2021-08-04;107
0221-08-11;2021-08-04;107
0221-08-11;2021-08-04;109
0221-08-11;2021-08-04;109
0221-08-11;2021-08-04;110
0221-08-11;2021-08-04;110
0221-08-11;2021-08-04;111
0221-08-11;2021-08-04;112
0221-08-11;2021-08-04;113
0221-08-11;2021-08-04;114
0221-08-11;2021-08-04;114
0221-08-11;2021-08-04;115
0221-08-11;2021-08-04;116
0221-08-11;2021-08-04;117
0221-08-11;2021-08-04;118
0221-08-11;2021-08-04;118
0221-08-11;2021-08-04;119
0221-08-11;2021-08-04;119
0221-08-11;2021-08-04;120
0221-08-11;2021-08-04;125
2021-07-15;2021-06-15;97
2021-07-15;2021-06-15;98
2021-07-15;2021-06-15;98
2021-07-15;2021-06-15;99
2021-07-15;2021-06-15;99
2021-07-15;2021-06-15;100
2021-07-15;2021-06-15;101
2021-07-15;2021-06-15;101
2021-07-15;2021-06-15;102
2021-07-15;2021-06-15;102
2021-07-15;2021-06-15;103
2021-07-15;2021-06-15;103
2021-07-15;2021-06-15;103
2021-07-15;2021-06-15;103
2021-07-15;2021-06-15;104
2021-07-15;2021-06-15;105
2021-07-15;2021-06-15;105
2021-07-15;2021-06-15;107
2021-07-15;2021-06-15;107
2021-07-15;2021-06-15;107
2021-07-15;2021-06-15;108
2021-07-15;2021-06-15;109
2021-07-15;2021-06-15;109
2021-07-15;2021-06-15;110
2021-07-15;2021-06-15;110
2021-07-15;2021-06-15;111
2021-07-15;2021-06-15;111
2021-07-15;2021-06-15;112
