village.nom;fiche.date_expedition;fiche_enqueteur.date;crabe.taille
Kaday;0221-08-11;2021-08-04;82
Kaday;0221-08-11;2021-08-04;83
Kaday;0221-08-11;2021-08-04;84
Kaday;0221-08-11;2021-08-04;87
Kaday;0221-08-11;2021-08-04;90
Kaday;0221-08-11;2021-08-04;92
Kaday;0221-08-11;2021-08-04;94
Kaday;0221-08-11;2021-08-04;97
Kaday;0221-08-11;2021-08-04;98
Kaday;0221-08-11;2021-08-04;99
Kaday;0221-08-11;2021-08-04;100
Kaday;0221-08-11;2021-08-04;100
Kaday;0221-08-11;2021-08-04;102
Kaday;0221-08-11;2021-08-04;103
Kaday;0221-08-11;2021-08-04;103
Kaday;0221-08-11;2021-08-04;104
Kaday;0221-08-11;2021-08-04;104
Kaday;0221-08-11;2021-08-04;105
Kaday;0221-08-11;2021-08-04;105
Kaday;0221-08-11;2021-08-04;106
Kaday;0221-08-11;2021-08-04;107
Kaday;0221-08-11;2021-08-04;107
Kaday;0221-08-11;2021-08-04;109
Kaday;0221-08-11;2021-08-04;109
Kaday;0221-08-11;2021-08-04;110
Kaday;0221-08-11;2021-08-04;110
Kaday;0221-08-11;2021-08-04;111
Kaday;0221-08-11;2021-08-04;112
Kaday;0221-08-11;2021-08-04;113
Kaday;0221-08-11;2021-08-04;114
Kaday;0221-08-11;2021-08-04;114
Kaday;0221-08-11;2021-08-04;115
Kaday;0221-08-11;2021-08-04;116
Kaday;0221-08-11;2021-08-04;117
Kaday;0221-08-11;2021-08-04;118
Kaday;0221-08-11;2021-08-04;118
Kaday;0221-08-11;2021-08-04;119
Kaday;0221-08-11;2021-08-04;119
Kaday;0221-08-11;2021-08-04;120
Kaday;0221-08-11;2021-08-04;125
Kaday;2021-08-02;2021-08-02;80
Kaday;2021-08-02;2021-08-02;83
Kaday;2021-08-02;2021-08-02;85
Kaday;2021-08-02;2021-08-02;86
Kaday;2021-08-02;2021-08-02;89
Kaday;2021-08-02;2021-08-02;90
Kaday;2021-08-02;2021-08-02;94
Kaday;2021-08-02;2021-08-02;97
Kaday;2021-08-02;2021-08-02;98
Kaday;2021-08-02;2021-08-02;98
Kaday;2021-08-02;2021-08-02;99
Kaday;2021-08-02;2021-08-02;99
Kaday;2021-08-02;2021-08-02;99
Kaday;2021-08-02;2021-08-02;99
Kaday;2021-08-02;2021-08-02;100
Kaday;2021-08-02;2021-08-02;100
Kaday;2021-08-02;2021-08-02;100
Kaday;2021-08-02;2021-08-02;100
Kaday;2021-08-02;2021-08-02;101
Kaday;2021-08-02;2021-08-02;101
Kaday;2021-08-02;2021-08-02;102
Kaday;2021-08-02;2021-08-02;102
Kaday;2021-08-02;2021-08-02;103
Kaday;2021-08-02;2021-08-02;103
Kaday;2021-08-02;2021-08-02;103
Kaday;2021-08-02;2021-08-02;104
Kaday;2021-08-02;2021-08-02;104
Kaday;2021-08-02;2021-08-02;104
Kaday;2021-08-02;2021-08-02;104
Kaday;2021-08-02;2021-08-02;104
Kaday;2021-08-02;2021-08-02;105
Kaday;2021-08-02;2021-08-02;105
Kaday;2021-08-02;2021-08-02;105
Kaday;2021-08-02;2021-08-02;107
Kaday;2021-08-02;2021-08-02;107
Kaday;2021-08-02;2021-08-02;108
Kaday;2021-08-02;2021-08-02;109
Kaday;2021-08-02;2021-08-02;109
Kaday;2021-08-02;2021-08-02;110
Kaday;2021-08-02;2021-08-02;110
Kaday;2021-08-02;2021-08-02;110
Kaday;2021-08-02;2021-08-02;110
Kaday;2021-08-02;2021-08-02;110
Kaday;2021-08-02;2021-08-02;112
