zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_individu,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.crabe_consomme_nombre,fiche_enqueteur.collecte_poids1,fiche_enqueteur.collecte_prix1,fiche_enqueteur.collecte_poids2,fiche_enqueteur.collecte_prix2,fiche_enqueteur.marche_local_poids,fiche_enqueteur.marche_local_prix,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,crabe.destination,crabe.sexe,crabe.taille
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,1,NO,110
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,1,NO,120
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,75
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,83
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,86
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,87
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,94
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,98
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,101
Morombe,Atsimo andrefana,Morombe,Befandefa,Antaniloba II,Ankotapike ,,2021-05-18,seul,0,4,1,6,1,2000,,,2,500,2021-05-18,1,1,Ligne au mouillage (Topitopy),35,Non renseigné,0,2021-05-17,0,0,Non renseigné,0,Non renseigné,0,2021-05-16,0,0,Non renseigné,0,Non renseigné,0,2021-05-15,0,0,Non renseigné,0,Non renseigné,0,1,false,plus petit,,2,M,103
