zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche_enqueteur.date,crabe.destination,crabe.sexe,crabe.taille
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,103
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,103
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,103
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,FO,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,70
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,80
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,80
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,80
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,90
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,90
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,90
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-06-01,1,M,101
