fiche_enqueteur.date;fiche_enqueteur.capture_poids
2021-06-07;4
2021-06-07;7.5
2021-06-08;1
2021-06-08;1.5
2021-06-08;1.5
2021-06-08;2
2021-06-09;1.5
2021-06-11;1.5
2021-06-11;3
2021-06-15;1
2021-06-15;1.5
2021-06-15;2
2021-06-15;2
2021-06-15;2.1
2021-06-16;2.5
2021-06-16;3
2021-06-16;6.5
2021-06-16;7.5
2021-06-18;3.5
2021-07-20;1
2021-07-20;1
2021-07-20;1
2021-07-21;0.5
2021-07-21;1
2021-07-27;1.5
2021-07-27;1.5
2021-07-27;2.5
2021-07-28;2
2021-07-31;4.5
2021-08-02;1.5
2021-08-02;1.5
2021-08-02;2
2021-08-02;4.5
2021-08-03;0.5
2021-08-03;1
2021-08-04;1
2021-08-04;3.5
2021-08-29;1.5
2021-08-30;2.5
2021-08-30;2.5
2022-01-05;2.5
2022-01-05;2.5
2022-01-06;1
2022-01-06;2.5
2022-01-06;4
2022-01-11;1.5
2022-01-11;1.5
2022-01-11;2
2022-01-11;2.5
2022-01-11;3
2022-01-11;8.5
2022-01-12;2
2022-01-12;2.5
2022-01-12;3
2022-01-12;6.6
2022-01-17;2
2022-01-17;2.5
2022-01-17;4
2022-01-17;4.5
2022-01-18;1
2022-01-18;1.5
2022-01-18;1.5
2022-01-18;1.5
2022-01-18;2
2022-01-18;2.1
2022-01-28;4
2022-01-28;5
2022-02-01;1
2022-02-01;1
2022-02-01;1.4
2022-02-01;2
2022-02-01;2.5
2022-02-01;3
2022-02-01;3.6
2022-02-02;0.5
2022-02-02;2.5
2022-02-02;3.5
2022-02-02;4
2022-02-07;0.6
2022-02-07;2.5
2022-02-07;3
2022-02-07;4
2022-02-08;0.5
2022-02-08;0.5
2022-02-08;0.6
2022-02-08;1
2022-02-08;1.5
2022-02-08;3
2022-02-08;3
2022-02-08;3
2022-02-08;3
2022-02-08;4
2022-02-08;4.5
2022-02-08;6
2022-02-09;1.5
2022-02-09;1.5
2022-02-09;2.1
2022-02-09;2.1
2022-02-09;3
2022-02-14;1.5
2022-02-14;1.5
2022-02-14;2
2022-02-14;2.5
2022-02-14;2.5
2022-02-14;3
2022-02-15;1.5
2022-02-15;1.5
2022-02-15;2
2022-02-15;2
2022-02-15;2
2022-02-15;2.5
2022-02-15;3
2022-02-15;3.4
2022-02-15;3.5
2022-02-15;4.1
2022-02-16;1.5
2022-02-16;2.5
2022-02-16;2.5
2022-02-16;3
2022-02-16;3
2022-02-16;3
2022-02-16;4.4
2022-02-22;0.5
2022-02-22;0.9
2022-02-22;1
2022-02-22;1
2022-02-22;1
2022-02-22;1
2022-02-22;1.1
2022-02-22;1.5
2022-02-22;2
2022-02-22;2
2022-02-22;2
2022-02-22;2.5
2022-02-22;3
2022-02-23;2.5
2022-02-23;3.5
2022-02-25;2.5
2022-02-25;3
2022-02-25;6
2022-03-01;1
2022-03-01;1.1
2022-03-01;1.5
2022-03-01;1.6
2022-03-01;2
2022-03-01;2.5
2022-03-02;0.1
2022-03-02;0.5
2022-03-02;2
2022-03-02;2.5
2022-03-02;3
2022-03-02;3
2022-03-08;1
2022-03-08;1.5
2022-03-08;2
2022-03-08;2
2022-03-08;2.5
2022-03-08;3.1
2022-03-08;4.5
2022-03-09;1
2022-03-09;2
2022-03-09;3.5
2022-03-10;0.6
2022-03-10;1
2022-03-10;5
2022-03-10;8.5
2022-03-14;1
2022-03-14;2
2022-03-14;2
2022-03-16;0.6
2022-03-16;1
2022-03-16;1.5
2022-03-16;1.6
2022-03-16;2
2022-03-16;2
2022-03-22;1
2022-03-22;1.9
2022-03-22;2
2022-03-22;2.6
2022-03-23;4
2022-03-28;0.5
2022-03-28;0.6
2022-03-28;1.5
2022-03-28;2
2022-03-28;2.5
2022-03-28;3.1
2022-03-29;1.5
2022-03-29;1.5
2022-03-29;1.6
2022-03-29;2
2022-03-29;2.5
2022-03-29;2.5
2022-03-29;2.5
2022-03-29;2.5
2022-03-29;3.5
2022-03-30;0.5
2022-03-30;0.6
2022-03-30;2
2022-03-30;2.1
2022-03-30;2.5
2022-03-30;2.5
2022-04-09;2
2022-04-09;3
