fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.capture_poids
2021-02-20;2021-08-13;2
2021-02-20;2021-08-13;5.5
2021-07-27;2021-07-21;5.5
2021-07-27;2021-07-21;5.5
2021-07-27;2021-07-21;7.5
2021-07-27;2021-07-21;8.5
2021-07-27;2021-07-22;2.5
2021-07-27;2021-07-22;4.5
2021-07-27;2021-07-22;5
2021-07-27;2021-07-22;6
2021-07-27;2021-07-24;8
2021-07-27;2021-07-25;4.5
2021-07-27;2021-07-25;5.5
2021-07-27;2021-07-25;5.5
2021-08-02;2021-07-27;5
2021-08-02;2021-07-27;6.5
2021-08-02;2021-07-30;4.5
2021-08-02;2021-07-30;5.5
2021-08-07;2021-08-02;2
2021-08-07;2021-08-02;5.5
2021-08-07;2021-08-03;2.5
2021-08-07;2021-08-03;4
2021-08-12;2021-08-07;4.5
2021-08-12;2021-08-07;5
2021-08-12;2021-08-07;5
2021-08-12;2021-08-07;7
2021-08-12;2021-08-08;2.5
2021-08-12;2021-08-08;4.5
2021-08-12;2021-08-08;5.5
2021-08-12;2021-08-08;7
2021-08-12;2021-08-08;7.5
2021-08-12;2021-08-08;9.5
2021-08-12;2021-08-09;1.5
2021-08-12;2021-08-09;2
2021-08-12;2021-08-09;4
2021-08-12;2021-08-09;7.5
2021-08-20;2021-08-08;1.5
2021-08-20;2021-08-13;11.5
2021-08-20;2021-08-14;4.5
2021-08-20;2021-08-14;6.5
2021-08-20;2021-08-15;1
2021-08-20;2021-08-15;2.5
2021-08-20;2021-08-15;5
2021-08-20;2021-08-15;7.5
2021-08-20;2021-08-16;1
2021-08-20;2021-08-16;4.5
2021-08-24;2021-08-24;5.5
2021-09-11;2021-09-02;1.5
2021-09-11;2021-09-02;4.5
2021-09-11;2021-09-04;1.5
2021-09-11;2021-09-04;4.5
2021-09-11;2021-09-06;2
2021-09-11;2021-09-06;7
2021-09-11;2021-09-07;1
2021-09-11;2021-09-07;1.5
2021-09-11;2021-09-08;2.5
2021-09-11;2021-09-08;4.5
2021-09-11;2021-09-09;1.5
2021-09-11;2021-09-09;2
2021-09-11;2021-09-10;1
2021-09-11;2021-09-10;3.5
2021-09-20;2021-09-11;1
2021-09-20;2021-09-11;1
2021-09-20;2021-09-11;2
2021-09-20;2021-09-11;5.4
2021-09-20;2021-09-13;1.5
2021-09-20;2021-09-13;5.5
2021-09-20;2021-09-15;1
2021-09-20;2021-09-15;1.5
2021-09-20;2021-09-15;4.5
2021-09-20;2021-09-15;5.5
2021-09-20;2021-09-17;1
2021-09-20;2021-09-17;11.5
;2021-07-01;4.5
;2021-07-01;5
;2021-07-01;6.5
;2021-07-01;7.5
;2021-07-02;2.5
;2021-07-02;3.5
;2021-07-02;4.5
;2021-07-02;4.5
;2021-07-03;5.5
;2021-07-03;9.5
;2021-07-03;11.5
;2021-07-03;12
;2021-07-04;6.5
;2021-07-04;8
;2021-07-04;8
;2021-07-04;11.5
;2021-07-05;1.5
;2021-07-05;4
;2021-07-05;9
;2021-07-05;11.5
;2021-07-08;2.5
;2021-07-08;4.5
;2021-07-08;5.5
;2021-07-08;11.5
;2021-07-09;5
;2021-07-09;7.5
;2021-07-10;5
;2021-07-10;5.5
;2021-07-11;2.5
;2021-07-11;4.5
;2021-07-11;5.5
;2021-07-12;4.5
;2021-07-12;5
;2021-07-12;5.5
;2021-07-12;6
