village.nom;fiche.date_expedition;fiche_enqueteur.date
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-15
 Antsosa ;2021-06-23;2021-06-16
 Antsosa ;2021-06-23;2021-06-16
 Antsosa ;2021-06-23;2021-06-16
 Antsosa ;2021-06-23;2021-06-16
 Antsosa ;2021-06-23;2021-06-16
 Antsosa ;2021-06-23;2021-06-17
 Antsosa ;2021-06-23;2021-06-17
 Antsosa ;2021-06-23;2021-06-18
 Antsosa ;2021-06-23;2021-06-18
 Antsosa ;2021-06-23;2021-06-19
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-28
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-29
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-06-30;2021-06-30
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-01
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
 Antsosa ;2021-07-08;2021-07-02
