zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_individu,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.crabe_consomme_nombre,fiche_enqueteur.collecte_poids1,fiche_enqueteur.collecte_prix1,fiche_enqueteur.collecte_poids2,fiche_enqueteur.collecte_prix2,fiche_enqueteur.marche_local_poids,fiche_enqueteur.marche_local_prix,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids,crabe.destination,crabe.sexe,crabe.taille
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,1,M,102
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,1,NO,119
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,1,NO,123
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,3,M,89
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,3,NO,78
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-07,seul,0,1.4,0.4,3,1,4500,,,0,3000,2022-02-07,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2022-02-06,0,0,,0,,0,2022-02-05,0,0,,0,,0,2022-02-04,0,0,,0,,0,1,false,plus gros,,1.4,3,NO,100
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,1,M,103
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,1,NO,105
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,2,M,79
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,2,M,90
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,2,M,100
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,2,NO,89
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,3,M,80
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,3,M,90
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,3,NO,79
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,2.5,0.5,4,1,4500,,,1,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,1,false,plus gros,,2.5,3,NO,83
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,1,M,100
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,1,NO,102
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,1,NO,109
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,M,80
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,M,82
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,M,97
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,NO,78
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,NO,85
Ambanja,Diana,Ambilobe,Beramanja,Ankazomahity,Ankazomahity,2022-02-20,2022-02-18,seul,0,3,0,0,1,4500,,,2,3000,2022-02-18,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-17,0,0,,0,,0,2022-02-16,1,0,"Crochet_(Fingavitra,_Kavitry,_Fiavitry)",1,,0,2022-02-15,0,0,,0,,0,1,false,plus gros,,3,2,NO,94
