village.nom;fiche_acheteur.date;fiche_acheteur.collecte_poids1;fiche_acheteur.collecte_prix1;fiche_acheteur.collecte_poids2;fiche_acheteur.collecte_prix2;fiche_acheteur.marche_local_poids;fiche_acheteur.marche_local_prix;fiche_acheteur.crabe_non_vendu_poids;fiche_acheteur.crabe_non_vendu_nombre;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_vente
Ambohibe;2021-12-13;10;2000;;;0;0;5;15;2021-12-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-11;0;0;;0;;0;2021-12-10;0;0;;0;;0;2
Ambohibe;2021-12-13;12;2000;;;0;0;2;8;2021-12-13;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;0;0;;0;;0;2021-12-11;0;0;;0;;0;2021-12-10;0;0;;0;;0;1
Ambohibe;2021-12-13;15;2000;;;0;0;3;12;2021-12-13;1;0;;0;Angady;1;2021-12-12;1;0;;0;Angady;1;2021-12-11;0;0;;0;;0;2021-12-10;0;0;;0;;0;2
Ambohibe;2021-12-13;20;2000;;;0;0;0;0;2021-12-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;1;0;Crochet_Vy_(Fingavitra,_Kavitry,_Fiavitry);0;Angady;1;2021-12-11;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-10;0;0;;0;;0;3
Ambohibe;2021-12-13;20;2000;;;0;0;1;4;2021-12-13;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-11;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-10;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;4
Ambohibe;2021-12-14;5;2000;6;700;0;0;30;5;2021-12-14;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-13;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-12;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-11;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;1
Ambohibe;2021-12-14;6;2000;4;700;0;0;24;4;2021-12-14;1;0;Crochet_Vy_(Fingavitra,_Kavitry,_Fiavitry);0;Angady;1;2021-12-13;0;0;Crochet_Vy_(Fingavitra,_Kavitry,_Fiavitry);0;Angady;1;2021-12-12;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-11;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-14;8;2000;6;700;0;0;26;6;2021-12-14;2;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-13;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-12;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-11;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2
Ambohibe;2021-12-14;8;2000;6;700;0;0;36;6;2021-12-14;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-13;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-12;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-11;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-14;10;2000;10;700;0;0;60;10;2021-12-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2021-12-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2
