zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche_enqueteur.date;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;nombre_sortie_capture
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;2;0;0;1;4500;;;1;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-04;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;2;0;0;2;4500;;;0;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-04;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;2.5;0;0;1;4500;;;1.5;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);6;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);6;;0;2022-02-04;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;3;0;0;1;4500;;;2;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-04;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;3;0;0;2;4500;;;1;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-04;1;1;Balance_(Garigary,_Kiriry);4;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-06;4;0;0;1;4500;;;3;3000;2022-02-06;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-04;1;1;Balance_(Garigary,_Kiriry);3;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-07;1.4;0.4;3;1;4500;;;0;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-07;1.4;0.4;3;1;4500;;;0;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-07;2;0;0;1;4500;;;1;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-05;0;0;;0;;0;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-07;2.2;0.2;2;1;4500;;;1;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1
