village.nom;fiche_enqueteur.date
Ambondro;2022-03-04
Ambondro;2022-03-04
Ambondro;2022-03-06
Ambondro;2022-03-06
Ambondro;2022-03-06
Ambondro;2022-03-07
Ambondro;2022-03-07
Ambondro;2022-03-09
Ambondro;2022-03-10
Ambondro;2022-03-11
Ambondro;2022-03-11
Ambondro;2022-03-11
Ambondro;2022-03-12
Ambondro;2022-03-13
Ambondro;2022-03-13
Ambondro;2022-03-14
Ambondro;2022-03-14
Ambondro;2022-03-15
Ambondro;2022-03-15
Ambondro;2022-03-15
Ambondro;2022-03-20
Ambondro;2022-03-20
Ambondro;2022-03-21
Ambondro;2022-03-21
Ambondro;2022-03-22
Ambondro;2022-03-22
Ambondro;2022-03-23
Ambondro;2022-03-23
Ambondro;2022-03-24
Ambondro;2022-03-24
Ambondro;2022-03-25
Ambondro;2022-03-25
Ambondro;2022-03-25
Ambondro;2022-03-25
Ambondro;2022-03-26
Ambondro;2022-03-26
Ambondro;2022-03-26
Ambondro;2022-03-27
Ambondro;2022-03-27
Ambondro;2022-03-27
Ambondro;2022-03-27
Ambondro;2022-03-28
Ambondro;2022-03-28
Ambondro;2022-03-29
Ambondro;2022-03-29
Ambondro;2022-03-29
Ambondro;2022-03-30
Ambondro;2022-03-30
Ambondro;2022-04-01
Ambondro;2022-04-01
Ambondro;2022-04-01
Ambondro;2022-04-01
Ambondro;2022-04-02
Ambondro;2022-04-02
Ambondro;2022-04-03
Ambondro;2022-04-03
Ambondro;2022-04-05
Ambondro;2022-04-05
Ambondro;2022-04-06
Ambondro;2022-04-06
Ambondro;2022-04-07
Ambondro;2022-04-08
Ambondro;2022-04-08
Ambondro;2022-04-09
Ambondro;2022-04-09
Ambondro;2022-04-09
Ambondro;2022-04-10
Ambondro;2022-04-10
Ambondro;2022-04-11
Ambondro;2022-04-11
Ambondro;2022-04-12
Ambondro;2022-04-12
Ambondro;2022-04-13
Ambondro;2022-04-13
Ambondro;2022-04-14
Ambondro;2022-04-14
Ambondro;2022-04-15
Ambondro;2022-04-15
Ambondro;2022-04-19
Ambondro;2022-04-19
Ambondro;2022-04-20
Ambondro;2022-04-20
Ambondro;2022-04-20
Ambondro;2022-04-20
Ambondro;2022-04-21
Ambondro;2022-04-21
Ambondro;2022-04-23
Ambondro;2022-04-23
Ambondro;2022-04-24
Ambondro;2022-04-24
Ambondro;2022-04-25
Ambondro;2022-04-25
Ambondro;2022-04-25
Ambondro;2022-04-25
Ambondro;2022-04-25
Ambondro;2022-04-25
Ambondro;2022-04-26
Ambondro;2022-04-26
Ambondro;2022-04-26
Ambondro;2022-04-26
Ambondro;2022-04-26
Ambondro;2022-04-26
Ambondro;2022-04-27
Ambondro;2022-04-27
Ambondro;2022-04-27
Ambondro;2022-04-27
Ambondro;2022-04-28
Ambondro;2022-04-28
Ambondro;2022-04-28
Ambondro;2022-04-28
Ambondro;2022-05-01
Ambondro;2022-05-01
Ambondro;2022-05-02
Ambondro;2022-05-02
Ambondro;2022-05-03
