village.nom;fiche_enqueteur.date;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_prix
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-06;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-07;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-08;4500;;3000
Ankazomahity;2022-02-09;4500;;3000
Ankazomahity;2022-02-09;4500;;3000
Ankazomahity;2022-02-09;4500;;3000
Ankazomahity;2022-02-09;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-10;4500;;3000
Ankazomahity;2022-02-11;4500;;3000
Ankazomahity;2022-02-11;4500;;3000
Ankazomahity;2022-02-11;4500;;3000
Ankazomahity;2022-02-11;4500;;3000
Ankazomahity;2022-02-12;4500;;3000
Ankazomahity;2022-02-12;4500;;3000
Ankazomahity;2022-02-12;4500;;3000
Ankazomahity;2022-02-12;4500;;3000
Ankazomahity;2022-02-12;4500;;3000
Ankazomahity;2022-02-13;4500;;3000
Ankazomahity;2022-02-13;4500;;3000
Ankazomahity;2022-02-13;4500;;3000
Ankazomahity;2022-02-15;4500;;3000
Ankazomahity;2022-02-15;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-16;4500;;3000
Ankazomahity;2022-02-17;4500;;3000
Ankazomahity;2022-02-17;4500;;3000
Ankazomahity;2022-02-17;4500;;3000
Ankazomahity;2022-02-17;4500;;3000
Ankazomahity;2022-02-17;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-18;4500;;3000
Ankazomahity;2022-02-19;4500;;3000
Ankazomahity;2022-02-19;4500;;3000
Ankazomahity;2022-02-20;4500;;3000
Ankazomahity;2022-02-20;4500;;3000
Ankazomahity;2022-02-20;4500;;3000
Ankazomahity;2022-03-01;4500;;0
Ankazomahity;2022-03-01;4500;;3000
Ankazomahity;2022-03-01;4500;;3000
Ankazomahity;2022-03-02;4500;;0
Ankazomahity;2022-03-02;4500;;3000
Ankazomahity;2022-03-02;4500;;3000
Ankazomahity;2022-03-03;4500;;3000
Ankazomahity;2022-03-03;4500;;3000
Ankazomahity;2022-03-03;4500;;3000
