region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche_enqueteur.date;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_capture
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;12;3;4;2500;;;5;1000;2021-12-18;2;2;Nasse_(Treko);30;;0;2021-12-17;2;2;Nasse_(Treko);30;;0;2021-12-16;2;2;Nasse_(Treko);30;;0;2021-12-15;2;2;Nasse_(Treko);30;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;14;1;9;2500;;;4;1000;2021-12-18;2;2;Nasse_(Treko);29;;0;2021-12-17;2;2;Nasse_(Treko);29;;0;2021-12-16;2;2;Nasse_(Treko);29;;0;2021-12-15;2;2;Nasse_(Treko);29;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;22;2;10;2500;;;10;1000;2021-12-18;2;2;Nasse_(Treko);38;;0;2021-12-17;2;2;Nasse_(Treko);38;;0;2021-12-16;2;2;Nasse_(Treko);38;;0;2021-12-15;2;2;Nasse_(Treko);38;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;27;6;7;2500;;;14;1000;2021-12-18;2;2;Nasse_(Treko);38;;0;2021-12-17;2;2;Nasse_(Treko);38;;0;2021-12-16;2;2;Nasse_(Treko);38;;0;2021-12-15;2;2;Nasse_(Treko);38;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;28;0;10;2500;;;18;1000;2021-12-18;2;2;Nasse_(Treko);32;;0;2021-12-17;2;2;Nasse_(Treko);32;;0;2021-12-16;2;2;Nasse_(Treko);32;;0;2021-12-15;2;2;Nasse_(Treko);32;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;28;6;13;2500;;;9;1000;2021-12-18;2;2;Nasse_(Treko);28;;0;2021-12-17;2;2;Nasse_(Treko);28;;0;2021-12-16;2;2;Nasse_(Treko);28;;0;2021-12-15;2;2;Nasse_(Treko);28;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;29;2;9;2500;;;18;1000;2021-12-18;2;2;Nasse_(Treko);32;;0;2021-12-17;2;2;Nasse_(Treko);32;;0;2021-12-16;2;0;Nasse_(Treko);32;;0;2021-12-15;2;0;Nasse_(Treko);32;;0;8
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;30;0;10;2500;;;20;1000;2021-12-18;2;2;Nasse_(Treko);33;;0;2021-12-17;0;0;;0;;0;2021-12-16;2;2;Nasse_(Treko);33;;0;2021-12-15;2;2;Nasse_(Treko);33;;0;6
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;31;1;20;2500;;;10;1000;2021-12-18;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-17;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-16;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-15;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;4
Sofia;Analalava;Mahadrodroka;Andamoty;Ambatoraikitra;2021-12-18;32;0;20;2500;;;12;1000;2021-12-18;2;2;Nasse_(Treko);40;;0;2021-12-17;2;2;Nasse_(Treko);40;;0;2021-12-16;2;2;Nasse_(Treko);40;;0;2021-12-15;2;2;Nasse_(Treko);40;;0;8
