zone_corecrabe.nom;village.nom;fiche_enqueteur.date
Ambanja;Ankazomahity;2022-05-01
Ambanja;Ankazomahity;2022-05-01
Ambanja;Ankazomahity;2022-05-01
Ambanja;Ankazomahity;2022-05-01
Ambanja;Ankazomahity;2022-05-02
Ambanja;Ankazomahity;2022-05-02
Ambanja;Ankazomahity;2022-05-02
Ambanja;Ankazomahity;2022-05-02
Ambanja;Ankazomahity;2022-05-03
Ambanja;Ankazomahity;2022-05-03
Ambanja;Ankazomahity;2022-05-05
Ambanja;Ankazomahity;2022-05-05
Ambanja;Ankazomahity;2022-05-05
Ambanja;Ankazomahity;2022-05-05
Ambanja;Ankazomahity;2022-05-06
Ambanja;Ankazomahity;2022-05-06
Ambanja;Ankazomahity;2022-05-07
Ambanja;Ankazomahity;2022-05-07
Ambanja;Ankazomahity;2022-05-09
Ambanja;Ankazomahity;2022-05-09
Ambanja;Ankazomahity;2022-05-09
Ambanja;Ankazomahity;2022-05-09
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-10
Ambanja;Ankazomahity;2022-05-12
Ambanja;Ankazomahity;2022-05-12
Ambanja;Ankazomahity;2022-05-13
Ambanja;Ankazomahity;2022-05-13
Ambanja;Ankazomahity;2022-05-13
Ambanja;Ankazomahity;2022-05-13
Ambanja;Ankazomahity;2022-05-14
Ambanja;Ankazomahity;2022-05-14
Ambanja;Ankazomahity;2022-05-14
Ambanja;Ankazomahity;2022-05-14
Ambanja;Ankazomahity;2022-05-15
Ambanja;Ankazomahity;2022-05-15
Ambanja;Ankazomahity;2022-05-15
Ambanja;Ankazomahity;2022-05-16
Ambanja;Ankazomahity;2022-05-16
Ambanja;Ankazomahity;2022-05-16
Ambanja;Ankazomahity;2022-05-16
Ambanja;Ankazomahity;2022-05-16
Ambanja;Ankazomahity;2022-05-17
Ambanja;Ankazomahity;2022-05-17
Ambanja;Ankazomahity;2022-05-19
Ambanja;Ankazomahity;2022-05-19
Ambanja;Ankazomahity;2022-05-19
Ambanja;Ankazomahity;2022-05-20
Ambanja;Ankazomahity;2022-05-20
Ambanja;Ankazomahity;2022-05-20
Ambanja;Ankazomahity;2022-05-22
Ambanja;Ankazomahity;2022-05-22
Ambanja;Ankazomahity;2022-05-23
Ambanja;Ankazomahity;2022-05-24
Ambanja;Ankazomahity;2022-05-24
Ambanja;Ankazomahity;2022-05-25
Ambanja;Ankotika;2022-05-05
Ambanja;Ankotika;2022-05-05
Ambanja;Ankotika;2022-05-06
Ambanja;Ankotika;2022-05-06
Ambanja;Ankotika;2022-05-18
Ambanja;Ankotika;2022-05-18
Ambanja;Ankotika;2022-05-19
Ambanja;Ankotika;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-01
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-02
Mahajanga;Ambatoraikitra;2022-05-03
Mahajanga;Ambatoraikitra;2022-05-03
Mahajanga;Ambatoraikitra;2022-05-03
Mahajanga;Ambatoraikitra;2022-05-03
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-07
Mahajanga;Ambatoraikitra;2022-05-08
Mahajanga;Ambatoraikitra;2022-05-08
Mahajanga;Ambatoraikitra;2022-05-08
Mahajanga;Ambatoraikitra;2022-05-08
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-14
Mahajanga;Ambatoraikitra;2022-05-15
Mahajanga;Ambatoraikitra;2022-05-15
Mahajanga;Ambatoraikitra;2022-05-15
Mahajanga;Ambatoraikitra;2022-05-15
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-18
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambatoraikitra;2022-05-19
Mahajanga;Ambondro;2022-05-01
Mahajanga;Ambondro;2022-05-01
Mahajanga;Ambondro;2022-05-02
Mahajanga;Ambondro;2022-05-02
Mahajanga;Ambondro;2022-05-03
Mahajanga;Ambondro;2022-05-03
Mahajanga;Ambondro;2022-05-03
Mahajanga;Ambondro;2022-05-03
Mahajanga;Ambondro;2022-05-04
