village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Ambohibe,2021-03-22,6,1
Ambohibe,2021-03-22,10,1
Ambohibe,2021-03-23,6,1
Ambohibe,2021-03-23,10,1
Ambohibe,2021-03-29,4,1
Ambohibe,2021-03-29,6,1
Ambohibe,2021-03-30,6,1
Ambohibe,2021-03-30,9,1
Ambohibe,2021-04-05,8,1
Ambohibe,2021-04-05,10,1
Ambohibe,2021-04-05,14,1
Ambohibe,2021-04-06,5,1
Ambohibe,2021-04-06,7,1
Ambohibe,2021-04-12,5,1
Ambohibe,2021-04-12,6,1
Ambohibe,2021-04-13,8,1
Ambohibe,2021-04-13,8,1
Ambohibe,2021-04-19,4,1
Ambohibe,2021-04-19,5,1
Ambohibe,2021-04-20,6,1
Ambohibe,2021-04-20,8,1
Ambohibe,2021-05-08,2,1
Ambohibe,2021-05-08,2,1
Ambohibe,2021-05-20,3,1
Ambohibe,2021-05-20,4,1
Ambohibe,2021-05-25,3,1
Ambohibe,2021-05-25,3,3
Ambohibe,2021-05-25,4,2
Ambohibe,2021-05-26,1,1
Ambohibe,2021-05-26,1.5,1
Ambohibe,2021-05-26,2,1
Ambohibe,2021-05-26,2,1
Ambohibe,2021-05-31,1.5,1
Ambohibe,2021-05-31,1.5,1
Ambohibe,2021-05-31,2,1
Ambohibe,2021-05-31,2,1
Ambohibe,2021-05-31,3,1
Ambohibe,2021-05-31,4,4
Ambohibe,2021-05-31,6,4
Ambohibe,2021-05-31,7.5,1
Ambohibe,2021-05-31,7.5,2
Ambohibe,2021-05-31,7.5,2
Ambohibe,2021-06-01,1,1
Ambohibe,2021-06-01,1,1
Ambohibe,2021-06-01,2,1
Ambohibe,2021-06-01,2,4
Ambohibe,2021-06-01,3,1
Ambohibe,2021-06-01,4,1
Ambohibe,2021-06-01,10,1
Ambohibe,2021-06-01,15,2
Ambohibe,2021-06-01,18,2
Ambohibe,2021-06-03,3,1
Ambohibe,2021-06-05,5,1
Ambohibe,2021-06-06,2,1
Ambohibe,2021-06-06,5,1
Ambohibe,2021-06-06,5,2
Ambohibe,2021-06-06,9,3
Ambohibe,2021-06-07,6,4
Ambohibe,2021-06-08,5,4
Ambohibe,2021-06-08,7,3
Ambohibe,2021-06-14,10,3
Ambohibe,2021-06-15,6,3
Ambohibe,2021-06-21,10,4
Ambohibe,2021-06-21,12,4
Ambohibe,2021-06-22,5,3
Ambohibe,2021-06-22,6,4
Ambohibe,2021-06-28,2,1
Ambohibe,2021-06-28,2,1
Ambohibe,2021-06-29,1,1
Ambohibe,2021-06-29,2,1
Ambohibe,2021-06-29,7,1
Ambohibe,2021-06-29,7,2
Ambohibe,2021-07-01,3,1
Ambohibe,2021-07-02,1,1
Ambohibe,2021-07-02,18,4
Ambohibe,2021-07-03,1,1
Ambohibe,2021-07-03,6,1
Ambohibe,2021-07-05,2,3
Ambohibe,2021-07-05,3,4
Ambohibe,2021-07-16,1,1
Ambohibe,2021-07-16,3,1
Ambohibe,2021-07-17,1,1
Ambohibe,2021-07-17,3,1
Ambohibe,2021-07-18,1,1
Ambohibe,2021-07-18,3,1
Ambohibe,2021-07-19,2,1
Ambohibe,2021-07-19,5,1
Ambohibe,2021-07-20,2,1
Ambohibe,2021-07-20,2,1
Ambohibe,2021-07-20,2,1
Ambohibe,2021-07-20,4,1
Ambohibe,2021-07-20,4,1
Ambohibe,2021-07-20,20,4
Ambohibe,2021-08-09,4,1
Ambohibe,2021-08-09,4.5,1
Ambohibe,2021-08-09,5,1
Ambohibe,2021-08-09,12,4
Ambohibe,2021-08-10,2,1
Ambohibe,2021-08-10,2,1
Ambohibe,2021-08-10,4.5,1
Ambohibe,2021-08-10,6,1
Ambohibe,2021-08-12,1,1
Ambohibe,2021-08-12,4,1
Ambohibe,2021-08-16,1,1
Ambohibe,2021-08-16,4,2
Ambohibe,2021-08-17,2,1
Ambohibe,2021-08-17,3,1
Ambohibe,2021-08-24,2,1
Ambohibe,2021-08-24,3,1
Ambohibe,2021-08-30,1.5,1
Ambohibe,2021-08-30,12,4
Ambohibe,2021-08-31,4,1
Ambohibe,2021-08-31,6,1
Ambohibe,2021-08-31,10,4
Ambohibe,2021-09-06,0.5,1
Ambohibe,2021-09-06,1,1
Ambohibe,2021-09-06,1,2
Ambohibe,2021-09-06,1.5,1
Ambohibe,2021-09-06,1.5,3
Ambohibe,2021-09-06,2,1
Ambohibe,2021-09-06,2,1
Ambohibe,2021-09-06,2,2
Ambohibe,2021-09-06,2.5,1
Ambohibe,2021-09-06,2.5,4
Ambohibe,2021-09-07,3,1
Ambohibe,2021-09-07,4,1
Ambohibe,2021-09-07,6,1
Ambohibe,2021-09-07,6,2
Ambohibe,2021-09-07,7,2
Ambohibe,2021-09-13,1,1
Ambohibe,2021-09-13,1,2
Ambohibe,2021-09-13,1.5,2
Ambohibe,2021-09-13,1.5,3
Ambohibe,2021-09-13,2,1
Ambohibe,2021-09-13,3,1
Ambohibe,2021-09-13,3,4
Ambohibe,2021-09-13,4,1
Ambohibe,2021-09-13,7,2
Ambohibe,2021-09-14,1,2
Ambohibe,2021-09-14,1.5,1
Ambohibe,2021-09-14,1.5,3
Ambohibe,2021-09-14,2,2
Ambohibe,2021-09-14,2.5,4
Ambohibe,2021-09-14,3,1
Ambohibe,2021-09-14,5,1
Ambohibe,2021-09-14,6,1
Ambohibe,2021-09-14,8,1
Ambohibe,2021-09-14,10,2
Ambohibe,2021-09-20,0.5,1
Ambohibe,2021-09-20,1,2
Ambohibe,2021-09-20,1.5,2
Ambohibe,2021-09-20,2,1
Ambohibe,2021-09-20,2,1
Ambohibe,2021-09-20,2,3
Ambohibe,2021-09-20,2.5,4
Ambohibe,2021-09-20,3,1
Ambohibe,2021-09-20,4,1
Ambohibe,2021-09-20,5,1
Ambohibe,2021-09-21,1,1
Ambohibe,2021-09-21,2,1
Ambohibe,2021-09-21,3,1
Ambohibe,2021-09-21,5,2
Ambohibe,2021-09-21,6,2
Ambohibe,2021-09-27,1,1
Ambohibe,2021-09-27,1,2
Ambohibe,2021-09-27,1.5,3
Ambohibe,2021-09-27,2,2
Ambohibe,2021-09-27,3.5,4
Ambohibe,2021-09-28,0.5,2
