village.nom,fiche.date_expedition,fiche_enqueteur.date
Ambatoraikitra,0222-06-30,2022-06-27
Ambatoraikitra,0222-06-30,2022-06-27
Ambatoraikitra,2022-05-30,2022-06-06
Ambatoraikitra,2022-05-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-06
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-07
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-15
Ambatoraikitra,2022-06-30,2022-06-16
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-19
Ambatoraikitra,2022-06-30,2022-06-20
Ambatoraikitra,2022-06-30,2022-06-20
Ambatoraikitra,2022-06-30,2022-06-20
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-06-30,2022-06-27
Ambatoraikitra,2022-07-06,2022-07-06
Ambatoraikitra,2022-07-06,2022-07-06
Ambatoraikitra,2022-07-31,2022-07-04
Ambatoraikitra,2022-07-31,2022-07-04
Ambatoraikitra,2022-07-31,2022-07-06
Ambatoraikitra,2022-07-31,2022-07-06
Ambatoraikitra,,2022-06-15
Ambatoraikitra,,2022-06-15
Ambondro,2022-06-30,2022-06-01
Ambondro,2022-06-30,2022-06-01
Ambondro,2022-06-30,2022-06-01
Ambondro,2022-06-30,2022-06-01
Ambondro,2022-06-30,2022-06-03
Ambondro,2022-06-30,2022-06-03
Ambondro,2022-06-30,2022-06-04
Ambondro,2022-06-30,2022-06-04
Ambondro,2022-06-30,2022-06-06
Ambondro,2022-06-30,2022-06-06
Ambondro,2022-06-30,2022-06-15
Ambondro,2022-06-30,2022-06-15
Ambondro,2022-06-30,2022-06-17
Ambondro,2022-06-30,2022-06-17
Ambondro,2022-06-30,2022-06-18
Ambondro,2022-06-30,2022-06-18
Ambondro,2022-06-30,2022-06-20
Ambondro,2022-06-30,2022-06-20
Ambondro,2022-06-30,2022-06-28
Ambondro,2022-06-30,2022-06-28
Ambondro,2022-06-30,2022-06-29
Ambondro,2022-06-30,2022-06-29
Ambondro,2022-06-30,2022-06-30
Ambondro,2022-06-30,2022-06-30
Ambondro,2022-07-31,2022-07-02
Ambondro,2022-07-31,2022-07-02
Ambondro,2022-07-31,2022-07-03
Ambondro,2022-07-31,2022-07-03
Ambondro,2022-07-31,2022-07-04
Ambondro,2022-07-31,2022-07-04
Ambondro,2022-07-31,2022-07-05
Ambondro,2022-07-31,2022-07-05
Ambondro,2022-07-31,2022-07-08
Ambondro,2022-07-31,2022-07-09
Ambondro,2022-07-31,2022-07-09
Ambondro,2022-07-31,2022-07-10
Ambondro,2022-07-31,2022-07-10
Ambondro,2022-07-31,2022-07-12
Ambondro,2022-07-31,2022-07-12
Ambondro,2022-07-31,2022-07-13
Ambondro,2022-07-31,2022-07-15
Ambondro,2022-07-31,2022-07-15
Ambondro,2022-07-31,2022-07-17
Ambondro,2022-07-31,2022-07-17
Ambondro,2022-07-31,2022-07-20
Ambondro,2022-07-31,2022-07-20
Ambondro,2022-08-31,2022-08-01
Ambondro,2022-08-31,2022-08-01
Ambondro,2022-08-31,2022-08-02
Ambondro,2022-08-31,2022-08-02
Ambondro,2022-08-31,2022-08-03
Ambondro,2022-08-31,2022-08-03
Ambondro,2022-08-31,2022-08-06
Ambondro,2022-08-31,2022-08-06
Ambondro,,2022-06-16
Ambondro,,2022-06-16
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-01
Ampitsopitsoka,2022-06-30,2022-06-02
Ampitsopitsoka,2022-06-30,2022-06-02
Ampitsopitsoka,2022-06-30,2022-06-02
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-03
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
Ampitsopitsoka,2022-06-30,2022-06-04
