zone_corecrabe.nom,village.nom,fiche.date_expedition,fiche_acheteur.date
Ambanja,Ambolikapiky,2022-08-31,2022-08-01
Ambanja,Ambolikapiky,2022-08-31,2022-08-01
Ambanja,Ambolikapiky,2022-08-31,2022-08-01
Ambanja,Ambolikapiky,2022-08-31,2022-08-01
Ambanja,Ambolikapiky,2022-08-31,2022-08-04
Ambanja,Ambolikapiky,2022-08-31,2022-08-04
Ambanja,Ambolikapiky,2022-08-31,2022-08-04
Ambanja,Ambolikapiky,2022-08-31,2022-08-04
Ambanja,Ambolikapiky,2022-08-31,2022-08-04
Ambanja,Ambolikapiky,,2022-08-03
Ambanja,Ambolikapiky,,2022-08-03
Ambanja,Ambolikapiky,,2022-08-03
Ambanja,Ambolikapiky,,2022-08-03
Ambanja,Ambolikapiky,,2022-08-03
Ambanja,Ambolikapiky,,2022-08-06
Ambanja,Ambolikapiky,,2022-08-06
Ambanja,Ambolikapiky,,2022-08-06
Ambanja,Ambolikapiky,,2022-08-06
Ambanja,Ambolikapiky,,2022-08-06
Ambanja,Ambolikapiky,,2022-08-07
Ambanja,Ambolikapiky,,2022-08-07
Ambanja,Ambolikapiky,,2022-08-07
Ambanja,Ambolikapiky,,2022-08-07
Ambanja,Ambolikapiky,,2022-08-07
Ambanja,Ambolikapiky,,2022-08-10
Ambanja,Ambolikapiky,,2022-08-10
Ambanja,Ambolikapiky,,2022-08-10
Ambanja,Ambolikapiky,,2022-08-10
Ambanja,Ambolikapiky,,2022-08-10
Ambanja,Ambolikapiky,,2022-08-13
Ambanja,Ambolikapiky,,2022-08-13
Ambanja,Ambolikapiky,,2022-08-13
Ambanja,Ambolikapiky,,2022-08-13
Ambanja,Ambolikapiky,,2022-08-13
Ambanja,Ambolikapiky,,2022-08-16
Ambanja,Ambolikapiky,,2022-08-16
Ambanja,Ambolikapiky,,2022-08-16
Ambanja,Ambolikapiky,,2022-08-16
Ambanja,Ambolikapiky,,2022-08-16
Ambanja,Ambolikapiky,,2022-08-19
Ambanja,Ambolikapiky,,2022-08-19
Ambanja,Ambolikapiky,,2022-08-19
Ambanja,Ambolikapiky,,2022-08-19
Ambanja,Ambolikapiky,,2022-08-19
Ambanja,Ambolikapiky,,2022-08-22
Ambanja,Ambolikapiky,,2022-08-22
Ambanja,Ambolikapiky,,2022-08-22
Ambanja,Ambolikapiky,,2022-08-22
Ambanja,Ambolikapiky,,2022-08-22
Ambanja,Ambolikapiky,,2022-08-25
Ambanja,Ambolikapiky,,2022-08-25
Ambanja,Ambolikapiky,,2022-08-25
Ambanja,Ambolikapiky,,2022-08-25
Ambanja,Ambolikapiky,,2022-08-28
Ambanja,Ambolikapiky,,2022-08-28
Ambanja,Ambolikapiky,,2022-08-28
Ambanja,Ambolikapiky,,2022-08-28
Ambanja,Ambolikapiky,,2022-08-28
Ambanja,Ambolikapiky,,2022-08-31
Ambanja,Ambolikapiky,,2022-08-31
Ambanja,Ambolikapiky,,2022-08-31
Ambanja,Ambolikapiky,,2022-08-31
Ambanja,Ambolikapiky,,2022-08-31
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-11
Ambanja,Ankotika,,2022-08-12
Ambanja,Ankotika,,2022-08-12
Ambanja,Ankotika,,2022-08-12
Ambanja,Ankotika,,2022-08-12
Ambanja,Ankotika,,2022-08-18
Ambanja,Ankotika,,2022-08-18
Ambanja,Ankotika,,2022-08-18
Ambanja,Ankotika,,2022-08-18
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-20
Ambanja,Ankotika,,2022-08-22
Ambanja,Ankotika,,2022-08-22
Ambanja,Ankotika,,2022-08-22
Ambanja,Ankotika,,2022-08-22
Ambanja,Ankotika,,2022-08-22
Ambanja,Ankotika,,2022-08-23
Ambanja,Ankotika,,2022-08-23
Ambanja,Ankotika,,2022-08-23
Ambanja,Ankotika,,2022-08-23
Ambanja,Ankotika,,2022-08-23
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-29
Ambanja,Ankotika,,2022-08-30
Ambanja,Antsahampano,,2022-08-07
Ambanja,Antsahampano,,2022-08-07
Ambanja,Antsahampano,,2022-08-07
Ambanja,Antsahampano,,2022-08-07
Ambanja,Antsahampano,,2022-08-07
Ambanja,Antsahampano,,2022-08-09
Ambanja,Antsahampano,,2022-08-09
Ambanja,Antsahampano,,2022-08-09
Ambanja,Antsahampano,,2022-08-09
Ambanja,Antsahampano,,2022-08-09
Ambanja,Antsahampano,,2022-08-11
Ambanja,Antsahampano,,2022-08-11
Ambanja,Antsahampano,,2022-08-11
Ambanja,Antsahampano,,2022-08-11
Ambanja,Antsahampano,,2022-08-11
Ambanja,Antsahampano,,2022-08-12
Ambanja,Antsahampano,,2022-08-12
Ambanja,Antsahampano,,2022-08-12
Ambanja,Antsahampano,,2022-08-12
Ambanja,Antsahampano,,2022-08-12
Ambanja,Antsahampano,,2022-08-14
Ambanja,Antsahampano,,2022-08-14
Ambanja,Antsahampano,,2022-08-14
Ambanja,Antsahampano,,2022-08-14
Ambanja,Antsahampano,,2022-08-14
Ambanja,Antsahampano,,2022-08-16
Ambanja,Antsahampano,,2022-08-16
Ambanja,Antsahampano,,2022-08-16
Ambanja,Antsahampano,,2022-08-16
Ambanja,Antsahampano,,2022-08-16
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-18
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
Ambanja,Antsahampano,,2022-08-20
