zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Ambanja,Ambolikapiky,2022-09-06,1,1
Ambanja,Ambolikapiky,2022-09-09,2,1
Ambanja,Ambolikapiky,2022-09-09,2,1
Ambanja,Ambolikapiky,2022-09-09,2,1
Ambanja,Ambolikapiky,2022-09-09,3,1
Ambanja,Ambolikapiky,2022-09-12,0,1
Ambanja,Ambolikapiky,2022-09-12,1,1
Ambanja,Ambolikapiky,2022-09-12,1,1
Ambanja,Ambolikapiky,2022-09-12,2,1
Ambanja,Ambolikapiky,2022-09-12,2,1
Ambanja,Ambolikapiky,2022-09-15,1,1
Ambanja,Ambolikapiky,2022-09-15,1,1
Ambanja,Ambolikapiky,2022-09-15,1,1
Ambanja,Ambolikapiky,2022-09-15,1,1
Ambanja,Ankotika,2022-09-12,1,1
Ambanja,Ankotika,2022-09-12,2,1
Ambanja,Ankotika,2022-09-12,2,1
Ambanja,Ankotika,2022-09-12,3,1
Ambanja,Ankotika,2022-09-12,3,1
Ambanja,Ankotika,2022-09-12,4,1
Ambanja,Ankotika,2022-09-13,2,1
Ambanja,Ankotika,2022-09-13,2,1
Ambanja,Ankotika,2022-09-13,2,1
Ambanja,Ankotika,2022-09-13,4,1
Ambanja,Ankotika,2022-09-13,5,1
Ambanja,Ankotika,2022-09-18,1,1
Ambanja,Ankotika,2022-09-18,2,1
Ambanja,Ankotika,2022-09-18,2,1
Ambanja,Ankotika,2022-09-18,2,1
Ambanja,Ankotika,2022-09-18,3,1
Ambanja,Ankotika,2022-09-18,4,1
Ambanja,Ankotika,2022-09-19,1,1
Ambanja,Ankotika,2022-09-19,2,1
Ambanja,Ankotika,2022-09-19,2,1
Ambanja,Ankotika,2022-09-19,2,1
Ambanja,Ankotika,2022-09-19,2,1
Ambanja,Ankotika,2022-09-19,3,1
Ambanja,Ankotika,2022-09-19,3,1
Ambanja,Ankotika,2022-09-19,5,1
Ambanja,Ankotika,2022-09-26,1,1
Ambanja,Ankotika,2022-09-26,1,1
Ambanja,Ankotika,2022-09-26,1,1
Ambanja,Ankotika,2022-09-26,1,1
Ambanja,Ankotika,2022-09-26,1,1
Ambanja,Ankotika,2022-09-27,0,1
Ambanja,Ankotika,2022-09-27,0,1
Ambanja,Ankotika,2022-09-27,1,1
Ambanja,Ankotika,2022-09-27,1,1
Ambanja,Ankotika,2022-09-27,1,1
Ambanja,Ankotika,2022-09-27,2,1
Ambanja,Ankotika,2022-09-27,2,1
Ambanja,Ankotika,2022-09-27,2,1
Ambanja,Ankotika,2022-09-27,3,1
Ambanja,Ankotika,2022-09-27,3,1
Ambanja,Ankotika,2022-09-28,1,1
Ambanja,Ankotika,2022-09-28,1,1
Ambanja,Ankotika,2022-09-28,1,1
Ambanja,Ankotika,2022-09-28,2,1
Ambanja,Ankotika,2022-09-28,2,1
Ambanja,Antsatrana,2022-09-17,13,3
Ambanja,Antsatrana,2022-09-17,18,3
Ambanja,Antsatrana,2022-09-17,18,3
Ambanja,Antsatrana,2022-09-17,19,3
Ambanja,Antsatrana,2022-09-17,20,2
Ambanja,Antsatrana,2022-09-29,9,3
Ambanja,Antsatrana,2022-09-29,10,3
Ambanja,Antsatrana,2022-09-29,12,2
Ambanja,Antsatrana,2022-09-29,14,3
Ambanja,Antsatrana,2022-09-29,15,2
Mahajanga,Antsakoamanera,2022-09-02,3,1
Mahajanga,Antsakoamanera,2022-09-02,5,1
Mahajanga,Antsakoamanera,2022-09-02,6,1
Mahajanga,Antsakoamanera,2022-09-02,9,1
Mahajanga,Antsakoamanera,2022-09-02,10,1
Mahajanga,Antsakoamanera,2022-09-03,1,1
Mahajanga,Antsakoamanera,2022-09-03,2,1
Mahajanga,Antsakoamanera,2022-09-03,3,1
Mahajanga,Antsakoamanera,2022-09-03,7,1
Mahajanga,Antsakoamanera,2022-09-03,9,1
Mahajanga,Antsakoamanera,2022-09-05,1,1
Mahajanga,Antsakoamanera,2022-09-05,3,1
Mahajanga,Antsakoamanera,2022-09-05,5,1
Mahajanga,Antsakoamanera,2022-09-05,7,1
Mahajanga,Antsakoamanera,2022-09-05,8,1
Mahajanga,Antsakoamanera,2022-09-06,1,1
Mahajanga,Antsakoamanera,2022-09-06,2,1
Mahajanga,Antsakoamanera,2022-09-06,3,1
Mahajanga,Antsakoamanera,2022-09-06,5,1
Mahajanga,Antsakoamanera,2022-09-06,7,1
Mahajanga,Antsakoamanera,2022-09-07,1,1
Mahajanga,Antsakoamanera,2022-09-07,2,1
Mahajanga,Antsakoamanera,2022-09-07,4,1
Mahajanga,Antsakoamanera,2022-09-07,5,1
Mahajanga,Antsakoamanera,2022-09-07,7,1
Mahajanga,Antsakoamanera,2022-09-08,1,1
Mahajanga,Antsakoamanera,2022-09-08,2,1
Mahajanga,Antsakoamanera,2022-09-08,3,1
Mahajanga,Antsakoamanera,2022-09-08,4,1
Mahajanga,Antsakoamanera,2022-09-08,5,1
Mahajanga,Antsakoamanera,2022-09-09,1,1
Mahajanga,Antsakoamanera,2022-09-09,2,1
Mahajanga,Antsakoamanera,2022-09-09,3,1
Mahajanga,Antsakoamanera,2022-09-09,7,1
Mahajanga,Antsakoamanera,2022-09-09,8,1
Mahajanga,Antsakoamanera,2022-09-10,1,1
Mahajanga,Antsakoamanera,2022-09-10,2,1
Mahajanga,Antsakoamanera,2022-09-10,3,1
Mahajanga,Antsakoamanera,2022-09-10,6,1
Mahajanga,Antsakoamanera,2022-09-10,9,1
Mahajanga,Antsakoamanera,2022-09-11,2,1
Mahajanga,Antsakoamanera,2022-09-11,3,1
Mahajanga,Antsakoamanera,2022-09-11,4,1
Mahajanga,Antsakoamanera,2022-09-11,6,1
Mahajanga,Antsakoamanera,2022-09-11,8,1
Mahajanga,Antsakoamanera,2022-09-12,1,1
Mahajanga,Antsakoamanera,2022-09-12,2,1
Mahajanga,Antsakoamanera,2022-09-12,3,1
Mahajanga,Antsakoamanera,2022-09-12,5,1
Mahajanga,Antsakoamanera,2022-09-12,7,1
Mahajanga,Antsakoamanera,2022-09-13,2,1
Mahajanga,Antsakoamanera,2022-09-13,3,1
Mahajanga,Antsakoamanera,2022-09-13,7,1
Mahajanga,Antsakoamanera,2022-09-13,8,1
Mahajanga,Antsakoamanera,2022-09-13,9,1
Mahajanga,Antsakoamanera,2022-09-14,1,1
Mahajanga,Antsakoamanera,2022-09-14,2,1
Mahajanga,Antsakoamanera,2022-09-14,3,1
Mahajanga,Antsakoamanera,2022-09-14,5,1
Mahajanga,Antsakoamanera,2022-09-14,8,1
Mahajanga,Antsakoamanera,2022-09-15,1,1
Mahajanga,Antsakoamanera,2022-09-15,2,1
Mahajanga,Antsakoamanera,2022-09-15,3,1
Mahajanga,Antsakoamanera,2022-09-15,5,1
Mahajanga,Antsakoamanera,2022-09-15,6,1
Mahajanga,Antsakoamanera,2022-09-16,2,1
Mahajanga,Antsakoamanera,2022-09-16,3,1
Mahajanga,Antsakoamanera,2022-09-16,4,1
Mahajanga,Antsakoamanera,2022-09-16,5,1
Mahajanga,Antsakoamanera,2022-09-16,7,1
Mahajanga,Antsakoamanera,2022-09-17,2,1
Mahajanga,Antsakoamanera,2022-09-17,3,1
Mahajanga,Antsakoamanera,2022-09-17,5,1
Mahajanga,Antsakoamanera,2022-09-17,6,1
Mahajanga,Antsakoamanera,2022-09-17,9,1
Mahajanga,Baly,2022-09-01,17,2
Mahajanga,Baly,2022-09-07,13,2
Mahajanga,Baly,2022-09-07,13,2
Mahajanga,Baly,2022-09-07,24,2
Mahajanga,Baly,2022-09-07,25,2
Mahajanga,Baly,2022-09-07,26,3
