fiche_enqueteur.date,fiche_enqueteur.capture_poids,nombre_sortie_capture,echantillon.poids,crabe.sexe,crabe.taille
2022-03-01,5.4,1,5.4,FO,128
2022-03-01,5.4,1,5.4,M,76
2022-03-01,5.4,1,5.4,M,81
2022-03-01,5.4,1,5.4,M,85
2022-03-01,5.4,1,5.4,M,85
2022-03-01,5.4,1,5.4,M,86
2022-03-01,5.4,1,5.4,M,88
2022-03-01,5.4,1,5.4,M,88
2022-03-01,5.4,1,5.4,M,89
2022-03-01,5.4,1,5.4,M,91
2022-03-01,5.4,1,5.4,M,92
2022-03-01,5.4,1,5.4,M,93
2022-03-01,5.4,1,5.4,M,99
2022-03-01,5.4,1,5.4,M,120
2022-03-01,5.4,1,5.4,M,123
2022-03-01,5.4,1,5.4,NO,72
2022-03-01,5.4,1,5.4,NO,74
2022-03-01,5.4,1,5.4,NO,75
2022-03-01,5.4,1,5.4,NO,76
2022-03-01,5.4,1,5.4,NO,78
2022-03-01,5.4,1,5.4,NO,78
2022-03-01,5.4,1,5.4,NO,78
2022-03-01,5.4,1,5.4,NO,78
2022-03-01,5.4,1,5.4,NO,79
2022-03-01,5.4,1,5.4,NO,82
2022-03-01,5.4,1,5.4,NO,84
2022-03-01,5.4,1,5.4,NO,89
2022-03-01,5.4,1,5.4,NO,93
2022-03-01,5.4,1,5.4,NO,99
2022-03-01,5.4,1,5.4,NO,120
2022-03-01,8.1,1,8.1,M,75
2022-03-01,8.1,1,8.1,M,75
2022-03-01,8.1,1,8.1,M,77
2022-03-01,8.1,1,8.1,M,78
2022-03-01,8.1,1,8.1,M,85
2022-03-01,8.1,1,8.1,M,89
2022-03-01,8.1,1,8.1,M,91
2022-03-01,8.1,1,8.1,M,94
2022-03-01,8.1,1,8.1,M,108
2022-03-01,8.1,1,8.1,M,122
2022-03-01,8.1,1,8.1,M,123
2022-03-01,8.1,1,8.1,M,128
2022-03-01,8.1,1,8.1,NO,72
2022-03-01,8.1,1,8.1,NO,74
2022-03-01,8.1,1,8.1,NO,74
2022-03-01,8.1,1,8.1,NO,76
2022-03-01,8.1,1,8.1,NO,77
2022-03-01,8.1,1,8.1,NO,79
2022-03-01,8.1,1,8.1,NO,82
2022-03-01,8.1,1,8.1,NO,82
2022-03-01,8.1,1,8.1,NO,83
2022-03-01,8.1,1,8.1,NO,84
2022-03-01,8.1,1,8.1,NO,120
2022-03-01,8.1,1,8.1,NO,120
2022-03-01,8.1,1,8.1,NO,122
2022-03-01,8.1,1,8.1,NO,125
2022-03-01,8.1,1,8.1,NO,125
2022-03-01,8.1,1,8.1,NO,128
2022-03-01,8.1,1,8.1,NO,133
2022-03-01,8.1,1,8.1,NO,140
2022-03-05,2.4,1,2.4,M,71
2022-03-05,2.4,1,2.4,M,87
2022-03-05,2.4,1,2.4,M,88
2022-03-05,2.4,1,2.4,M,90
2022-03-05,2.4,1,2.4,M,95
2022-03-05,2.4,1,2.4,M,100
2022-03-05,2.4,1,2.4,NO,88
2022-03-05,2.4,1,2.4,NO,97
2022-03-05,2.4,1,2.4,NO,101
2022-03-05,2.4,1,2.4,NO,107
2022-03-05,2.4,1,2.4,NO,107
2022-03-08,4,1,4,FO,102
2022-03-08,4,1,4,FO,106
2022-03-08,4,1,4,M,84
2022-03-08,4,1,4,M,89
2022-03-08,4,1,4,M,100
2022-03-08,4,1,4,NO,79
2022-03-08,4,1,4,NO,86
2022-03-08,4,1,4,NO,88
2022-03-08,4,1,4,NO,91
2022-03-08,4,1,4,NO,99
2022-03-08,4,1,4,NO,101
2022-03-08,4,1,4,NO,108
2022-03-08,4,1,4,NO,109
2022-03-13,7,2,7,FO,109
2022-03-13,7,2,7,FO,129
2022-03-13,7,2,7,FO,129
2022-03-13,7,2,7,M,68
2022-03-13,7,2,7,M,70
2022-03-13,7,2,7,M,70
2022-03-13,7,2,7,M,72
2022-03-13,7,2,7,M,77
2022-03-13,7,2,7,M,79
2022-03-13,7,2,7,M,84
2022-03-13,7,2,7,M,86
2022-03-13,7,2,7,M,89
2022-03-13,7,2,7,M,90
2022-03-13,7,2,7,M,93
2022-03-13,7,2,7,M,94
2022-03-13,7,2,7,M,120
2022-03-13,7,2,7,M,135
2022-03-13,7,2,7,M,140
2022-03-13,7,2,7,NO,66
2022-03-13,7,2,7,NO,79
2022-03-13,7,2,7,NO,84
2022-03-13,7,2,7,NO,89
2022-03-13,7,2,7,NO,91
2022-03-13,7,2,7,NO,94
2022-03-13,7,2,7,NO,97
2022-03-13,7,2,7,NO,104
2022-03-13,7,2,7,NO,104
2022-03-13,7,2,7,NO,124
2022-03-13,7,2,7,NO,128
2022-03-13,7,2,7,NO,139
2022-03-13,9,3,9,FO,108
2022-03-13,9,3,9,FO,117
2022-03-13,9,3,9,FO,122
2022-03-13,9,3,9,FO,127
2022-03-13,9,3,9,FO,128
2022-03-13,9,3,9,M,68
2022-03-13,9,3,9,M,68
2022-03-13,9,3,9,M,70
2022-03-13,9,3,9,M,70
2022-03-13,9,3,9,M,73
2022-03-13,9,3,9,M,74
2022-03-13,9,3,9,M,77
2022-03-13,9,3,9,M,77
2022-03-13,9,3,9,M,77
2022-03-13,9,3,9,M,79
2022-03-13,9,3,9,M,79
2022-03-13,9,3,9,M,80
2022-03-13,9,3,9,M,81
2022-03-13,9,3,9,M,83
2022-03-13,9,3,9,M,83
2022-03-13,9,3,9,M,84
2022-03-13,9,3,9,M,86
2022-03-13,9,3,9,M,87
2022-03-13,9,3,9,M,88
2022-03-13,9,3,9,M,91
2022-03-13,9,3,9,M,92
2022-03-13,9,3,9,M,93
2022-03-13,9,3,9,M,95
2022-03-13,9,3,9,M,97
2022-03-13,9,3,9,M,100
2022-03-13,9,3,9,M,104
2022-03-13,9,3,9,M,118
2022-03-13,9,3,9,M,124
2022-03-13,9,3,9,M,125
2022-03-13,9,3,9,M,125
2022-03-13,9,3,9,M,138
2022-03-13,9,3,9,NO,69
2022-03-13,9,3,9,NO,70
2022-03-13,9,3,9,NO,72
2022-03-13,9,3,9,NO,73
2022-03-13,9,3,9,NO,74
2022-03-13,9,3,9,NO,78
2022-03-13,9,3,9,NO,79
2022-03-13,9,3,9,NO,81
2022-03-13,9,3,9,NO,83
2022-03-13,9,3,9,NO,84
2022-03-13,9,3,9,NO,85
2022-03-13,9,3,9,NO,85
2022-03-13,9,3,9,NO,89
2022-03-13,9,3,9,NO,91
2022-03-13,9,3,9,NO,94
2022-03-13,9,3,9,NO,95
2022-03-13,9,3,9,NO,97
2022-03-13,9,3,9,NO,99
2022-03-13,9,3,9,NO,101
2022-03-13,9,3,9,NO,101
2022-03-13,9,3,9,NO,120
2022-03-13,9,3,9,NO,120
2022-03-13,9,3,9,NO,122
2022-03-13,9,3,9,NO,136
2022-03-13,13,1,13,FO,127
2022-03-13,13,1,13,FO,130
2022-03-13,13,1,13,FO,136
2022-03-13,13,1,13,M,77
2022-03-13,13,1,13,M,88
2022-03-13,13,1,13,M,104
2022-03-13,13,1,13,M,108
2022-03-13,13,1,13,M,109
2022-03-13,13,1,13,M,110
2022-03-13,13,1,13,M,111
